,ecdf,Label,Values,location,ID,Normalized Calcium
0,0.02040816326530612,PBS,0.11800000000000001,left arm calcium,22B,0.45736434108527135
1,0.04081632653061224,PBS,0.121,left arm calcium,22D,0.46538461538461534
2,0.061224489795918366,PBS,0.124,left arm calcium,27G,0.41333333333333333
3,0.08163265306122448,PBS,0.127,left arm calcium,27H,0.41914191419141916
4,0.10204081632653061,PBS,0.131,left arm calcium,31A,0.4281045751633987
5,0.12244897959183673,PBS,0.133,left arm calcium,31B,0.4318181818181818
6,0.14285714285714285,PBS,0.135,left arm calcium,31C,0.4368932038834952
7,0.16326530612244897,PBS,0.139,left arm calcium,31E,0.4483870967741936
8,0.1836734693877551,PBS,0.14,left arm calcium,32A,0.44871794871794873
9,0.20408163265306123,PBS,0.141,left arm calcium,32C,0.4490445859872611
10,0.22448979591836735,PBS,0.142,left arm calcium,32H,0.4493670886075949
11,0.24489795918367346,PBS,0.142,left arm calcium,33A,0.44514106583072094
12,0.2653061224489796,PBS,0.142,left arm calcium,33B,0.44514106583072094
13,0.2857142857142857,PBS,0.14300000000000002,left arm calcium,33C,0.446875
14,0.30612244897959184,PBS,0.14300000000000002,left arm calcium,33D,0.44409937888198764
15,0.32653061224489793,PBS,0.146,left arm calcium,33E,0.45201238390092885
16,0.3469387755102041,PBS,0.146,left arm calcium,33F,0.4464831804281345
17,0.3673469387755102,PBS,0.156,left arm calcium,33H,0.4712990936555891
18,0.3877551020408163,PBS,0.156,left arm calcium,33J,0.4712990936555891
19,0.40816326530612246,PBS,0.156,left arm calcium,40A,0.4670658682634731
20,0.42857142857142855,PBS,0.157,left arm calcium,40B,0.470059880239521
21,0.4489795918367347,PBS,0.159,left arm calcium,40C,0.4760479041916168
22,0.46938775510204084,PBS,0.16,left arm calcium,40D,0.47761194029850745
23,0.4897959183673469,PBS,0.161,left arm calcium,41A,0.47916666666666663
24,0.5102040816326531,PBS,0.16399999999999998,left arm calcium,41B,0.488095238095238
25,0.5306122448979592,PBS,0.165,left arm calcium,41C,0.4896142433234421
26,0.5510204081632653,PBS,0.165,left arm calcium,41D,0.48816568047337283
27,0.5714285714285714,PBS,0.166,left arm calcium,41E,0.48823529411764705
28,0.5918367346938775,PBS,0.16699999999999998,left arm calcium,41F,0.4911764705882352
29,0.6122448979591837,PBS,0.168,left arm calcium,41G,0.48554913294797686
30,0.6326530612244898,PBS,0.171,left arm calcium,41H,0.49421965317919075
31,0.6530612244897959,PBS,0.171,left arm calcium,41I,0.48997134670487114
32,0.673469387755102,PBS,0.172,left arm calcium,42A,0.49283667621776506
33,0.6938775510204082,PBS,0.17300000000000001,left arm calcium,42B,0.4942857142857144
34,0.7142857142857143,PBS,0.174,left arm calcium,42C,0.49014084507042255
35,0.7346938775510204,PBS,0.17600000000000002,left arm calcium,42D,0.49162011173184367
36,0.7551020408163265,PBS,0.177,left arm calcium,42E,0.49441340782122906
37,0.7755102040816326,PBS,0.179,left arm calcium,42F,0.49584487534626037
38,0.7959183673469388,PBS,0.18,left arm calcium,42G,0.4904632152588555
39,0.8163265306122449,PBS,0.18100000000000002,left arm calcium,43A,0.4878706199460917
40,0.8367346938775511,PBS,0.182,left arm calcium,43B,0.49056603773584906
41,0.8571428571428571,PBS,0.183,left arm calcium,43C,0.4906166219839142
42,0.8775510204081632,PBS,0.184,left arm calcium,43D,0.4919786096256684
43,0.8979591836734694,PBS,0.185,left arm calcium,43E,0.4894179894179895
44,0.9183673469387755,PBS,0.188,left arm calcium,43F,0.47959183673469385
45,0.9387755102040817,PBS,0.188,left arm calcium,43H,0.4783715012722647
46,0.9591836734693877,PBS,0.19399999999999998,left arm calcium,43I,0.48989898989898983
47,0.9795918367346939,PBS,0.203,left arm calcium,78A,0.5049751243781094
48,1.0,PBS,0.207,left arm calcium,78D,0.5136476426799007
0,0.027777777777777776,Snus,0.07400000000000001,left arm calcium,2A,0.36097560975609766
1,0.05555555555555555,Snus,0.081,left arm calcium,2B,0.3461538461538462
2,0.08333333333333333,Snus,0.095,left arm calcium,2C,0.35984848484848486
3,0.1111111111111111,Snus,0.10099999999999999,left arm calcium,2D,0.3811320754716981
4,0.1388888888888889,Snus,0.124,left arm calcium,3B,0.46616541353383456
5,0.16666666666666666,Snus,0.13,left arm calcium,4A,0.4727272727272727
6,0.19444444444444445,Snus,0.135,left arm calcium,4B,0.4891304347826087
7,0.2222222222222222,Snus,0.138,left arm calcium,7D,0.5
8,0.25,Snus,0.138,left arm calcium,7F,0.480836236933798
9,0.2777777777777778,Snus,0.139,left arm calcium,A,0.4664429530201343
10,0.3055555555555556,Snus,0.139,left arm calcium,D,0.4648829431438128
11,0.3333333333333333,Snus,0.14,left arm calcium,G,0.4635761589403974
12,0.3611111111111111,Snus,0.145,left arm calcium,H,0.463258785942492
13,0.3888888888888889,Snus,0.151,left arm calcium,5D,0.4778481012658228
14,0.4166666666666667,Snus,0.153,left arm calcium,5I,0.47812499999999997
15,0.4444444444444444,Snus,0.156,left arm calcium,18A,0.4829721362229103
16,0.4722222222222222,Snus,0.157,left arm calcium,18B,0.4801223241590214
17,0.5,Snus,0.163,left arm calcium,18C,0.49096385542168675
18,0.5277777777777778,Snus,0.16699999999999998,left arm calcium,18D,0.4970238095238094
19,0.5555555555555556,Snus,0.16899999999999998,left arm calcium,18G,0.5014836795252224
20,0.5833333333333334,Snus,0.17,left arm calcium,20B,0.5044510385756676
21,0.6111111111111112,Snus,0.175,left arm calcium,20C,0.5177514792899408
22,0.6388888888888888,Snus,0.175,left arm calcium,20D,0.5116959064327484
23,0.6666666666666666,Snus,0.17800000000000002,left arm calcium,20E,0.5174418604651164
24,0.6944444444444444,Snus,0.18,left arm calcium,20G,0.5172413793103449
25,0.7222222222222222,Snus,0.18,left arm calcium,34A,0.5128205128205128
26,0.75,Snus,0.184,left arm calcium,34B,0.5227272727272727
27,0.7777777777777778,Snus,0.187,left arm calcium,34C,0.518005540166205
28,0.8055555555555556,Snus,0.191,left arm calcium,34D,0.5276243093922651
29,0.8333333333333334,Snus,0.191,left arm calcium,34F,0.5261707988980716
30,0.8611111111111112,Snus,0.19399999999999998,left arm calcium,34G,0.5286103542234332
31,0.8888888888888888,Snus,0.19699999999999998,left arm calcium,34H,0.5353260869565217
32,0.9166666666666666,Snus,0.201,left arm calcium,34I,0.5261780104712042
33,0.9444444444444444,Snus,0.212,left arm calcium,34J,0.539440203562341
34,0.9722222222222222,Snus,0.22399999999999998,left arm calcium,46A,0.5450121654501215
35,1.0,Snus,0.282,left arm calcium,46B,0.655813953488372
0,0.023255813953488372,Camel Blue,0.11699999999999999,left arm calcium,23A,0.4517374517374517
1,0.046511627906976744,Camel Blue,0.12,left arm calcium,23C,0.43321299638989175
2,0.06976744186046512,Camel Blue,0.121,left arm calcium,23D,0.43060498220640564
3,0.09302325581395349,Camel Blue,0.124,left arm calcium,23E,0.4397163120567376
4,0.11627906976744186,Camel Blue,0.124,left arm calcium,23F,0.4305555555555555
5,0.13953488372093023,Camel Blue,0.13,left arm calcium,23G,0.44520547945205485
6,0.16279069767441862,Camel Blue,0.132,left arm calcium,26B,0.44000000000000006
7,0.18604651162790697,Camel Blue,0.133,left arm calcium,26G,0.44333333333333336
8,0.20930232558139536,Camel Blue,0.135,left arm calcium,26H,0.4440789473684211
9,0.23255813953488372,Camel Blue,0.135,left arm calcium,29B,0.4383116883116883
10,0.2558139534883721,Camel Blue,0.135,left arm calcium,29D,0.4272151898734177
11,0.27906976744186046,Camel Blue,0.135,left arm calcium,29E,0.41795665634674933
12,0.3023255813953488,Camel Blue,0.139,left arm calcium,29F,0.42901234567901236
13,0.32558139534883723,Camel Blue,0.14400000000000002,left arm calcium,36A,0.4430769230769231
14,0.3488372093023256,Camel Blue,0.145,left arm calcium,36B,0.44478527607361956
15,0.37209302325581395,Camel Blue,0.146,left arm calcium,36C,0.4464831804281345
16,0.3953488372093023,Camel Blue,0.14800000000000002,left arm calcium,36D,0.45259938837920494
17,0.4186046511627907,Camel Blue,0.149,left arm calcium,36E,0.4515151515151515
18,0.4418604651162791,Camel Blue,0.149,left arm calcium,36F,0.4515151515151515
19,0.46511627906976744,Camel Blue,0.15,left arm calcium,36G,0.4531722054380664
20,0.4883720930232558,Camel Blue,0.153,left arm calcium,39A,0.4622356495468278
21,0.5116279069767442,Camel Blue,0.156,left arm calcium,39B,0.4698795180722891
22,0.5348837209302325,Camel Blue,0.158,left arm calcium,39C,0.4730538922155689
23,0.5581395348837209,Camel Blue,0.16,left arm calcium,39D,0.4747774480712166
24,0.5813953488372093,Camel Blue,0.16,left arm calcium,39E,0.469208211143695
25,0.6046511627906976,Camel Blue,0.16,left arm calcium,39F,0.469208211143695
26,0.627906976744186,Camel Blue,0.16,left arm calcium,39G,0.4664723032069971
27,0.6511627906976745,Camel Blue,0.161,left arm calcium,44A,0.46666666666666673
28,0.6744186046511628,Camel Blue,0.162,left arm calcium,44B,0.4695652173913044
29,0.6976744186046512,Camel Blue,0.165,left arm calcium,44C,0.4714285714285715
30,0.7209302325581395,Camel Blue,0.16899999999999998,left arm calcium,44D,0.4828571428571428
31,0.7441860465116279,Camel Blue,0.171,left arm calcium,44E,0.48717948717948717
32,0.7674418604651163,Camel Blue,0.172,left arm calcium,44F,0.48314606741573024
33,0.7906976744186046,Camel Blue,0.172,left arm calcium,44G,0.479108635097493
34,0.813953488372093,Camel Blue,0.17300000000000001,left arm calcium,44H,0.4805555555555556
35,0.8372093023255814,Camel Blue,0.17300000000000001,left arm calcium,44I,0.47922437673130197
36,0.8604651162790697,Camel Blue,0.174,left arm calcium,44J,0.47933884297520657
37,0.8837209302325582,Camel Blue,0.18100000000000002,left arm calcium,45A,0.49318801089918257
38,0.9069767441860465,Camel Blue,0.182,left arm calcium,45B,0.48404255319148937
39,0.9302325581395349,Camel Blue,0.187,left arm calcium,45C,0.4960212201591512
40,0.9534883720930233,Camel Blue,0.19,left arm calcium,45D,0.5039787798408488
41,0.9767441860465116,Camel Blue,0.192,left arm calcium,45E,0.5
42,1.0,Camel Blue,0.221,left arm calcium,45F,0.5695876288659795
